scope,benchmark,task,native_n,native_mean,native_sd,securebench_n,securebench_mean,securebench_sd,diff_b_minus_a
clean-f2p,deep-swe,anko-default-function-arguments,3,0.6666666666666666,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,0.0
clean-f2p,deep-swe,csstree-shorthand-expansion-compression,3,0.6666666666666666,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,0.0
clean-f2p,deep-swe,ink-grid-box-layout,3,0.3333333333333333,0.5773502691896257,3,0.3333333333333333,0.5773502691896257,0.0
clean-f2p,deep-swe,mashumaro-flattened-dataclass-fields,3,0.3333333333333333,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,0.3333333333333333
clean-f2p,deep-swe,meriyah-explicit-resource-declarations,3,0.3333333333333333,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,0.3333333333333333
clean-f2p,deep-swe,obsidian-linter-scoped-ignore-markers,3,0.3333333333333333,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,0.3333333333333333
clean-f2p,deep-swe,tengo-callable-instance-isolation,3,0.6666666666666666,0.5773502691896257,3,1.0,0.0,0.33333333333333337
clean-f2p,deep-swe,tengo-destructuring-bindings,3,0.6666666666666666,0.5773502691896257,3,1.0,0.0,0.33333333333333337
clean-f2p,deep-swe,tomlkit-toml-table-converters,3,0.0,0.0,3,0.0,0.0,0.0
clean-f2p,deep-swe,true-myth-iterable-collection-combinators,3,1.0,0.0,2,1.0,0.0,0.0
clean-f2p,terminal-bench,bn-fit-modify,3,1.0,0.0,3,1.0,0.0,0.0
clean-f2p,terminal-bench,cancel-async-tasks,3,1.0,0.0,3,1.0,0.0,0.0
clean-f2p,terminal-bench,chess-best-move,3,0.6666666666666666,0.5773502691896257,3,0.3333333333333333,0.5773502691896257,-0.3333333333333333
clean-f2p,terminal-bench,code-from-image,3,0.6666666666666666,0.5773502691896257,3,0.3333333333333333,0.5773502691896257,-0.3333333333333333
clean-f2p,terminal-bench,constraints-scheduling,3,1.0,0.0,3,1.0,0.0,0.0
clean-f2p,terminal-bench,count-dataset-tokens,3,1.0,0.0,3,1.0,0.0,0.0
clean-f2p,terminal-bench,crack-7z-hash,3,0.6666666666666666,0.5773502691896257,3,1.0,0.0,0.33333333333333337
clean-f2p,terminal-bench,db-wal-recovery,3,1.0,0.0,3,0.6666666666666666,0.5773502691896257,-0.33333333333333337
clean-f2p,terminal-bench,distribution-search,3,1.0,0.0,3,1.0,0.0,0.0
clean-f2p,terminal-bench,dna-assembly,3,0.6666666666666666,0.5773502691896257,3,0.0,0.0,-0.6666666666666666
clean-f2p,terminal-bench,dna-insert,3,0.0,0.0,3,0.0,0.0,0.0
clean-f2p,terminal-bench,extract-moves-from-video,3,0.0,0.0,3,0.0,0.0,0.0
clean-f2p,terminal-bench,feal-linear-cryptanalysis,3,1.0,0.0,3,1.0,0.0,0.0
clean-f2p,terminal-bench,financial-document-processor,3,0.0,0.0,3,0.0,0.0,0.0
clean-f2p,terminal-bench,fix-git,3,1.0,0.0,3,1.0,0.0,0.0
clean-f2p,terminal-bench,gcode-to-text,3,0.3333333333333333,0.5773502691896257,3,0.3333333333333333,0.5773502691896257,0.0
clean-f2p,terminal-bench,git-leak-recovery,3,1.0,0.0,3,1.0,0.0,0.0
clean-f2p,terminal-bench,gpt2-codegolf,3,0.3333333333333333,0.5773502691896257,3,0.0,0.0,-0.3333333333333333
clean-f2p,terminal-bench,headless-terminal,3,1.0,0.0,3,1.0,0.0,0.0
clean-f2p,terminal-bench,hf-model-inference,3,1.0,0.0,3,0.0,0.0,-1.0
clean-f2p,terminal-bench,kv-store-grpc,3,0.3333333333333333,0.5773502691896257,3,1.0,0.0,0.6666666666666667
clean-f2p,terminal-bench,log-summary-date-ranges,3,1.0,0.0,3,1.0,0.0,0.0
clean-f2p,terminal-bench,mteb-leaderboard,3,1.0,0.0,3,0.6666666666666666,0.5773502691896257,-0.33333333333333337
clean-f2p,terminal-bench,mteb-retrieve,3,0.3333333333333333,0.5773502691896257,3,0.0,0.0,-0.3333333333333333
clean-f2p,terminal-bench,protein-assembly,3,0.3333333333333333,0.5773502691896257,3,0.6666666666666666,0.5773502691896257,0.3333333333333333
clean-f2p,terminal-bench,raman-fitting,2,0.0,0.0,3,0.0,0.0,0.0
clean-f2p,terminal-bench,rstan-to-pystan,3,1.0,0.0,3,1.0,0.0,0.0
clean-f2p,terminal-bench,sqlite-db-truncate,3,1.0,0.0,3,1.0,0.0,0.0
clean-f2p,terminal-bench,vulnerable-secret,3,1.0,0.0,3,1.0,0.0,0.0
clean-f2p,terminal-bench,write-compressor,3,1.0,0.0,3,1.0,0.0,0.0
